77520,68163
69787,43756
70435,39504
68807,52012
48992,46239
56877,55630
78651,60633
47943,45648
94501,30689
88732,58730
91949,23919
52506,50989
75963,49838
85977,54608
65183,55748
64322,36621
66927,37083
72643,67723
83187,56741
65767,50811
94919,44761
70973,58429
64451,59682
74291,48061
88293,62680
93128,30631
67491,45422
66149,45240
77394,73461
97837,56044
70215,66678
66019,38650
96674,46987
77232,63903
83059,70863
61128,43895
84240,27375
77669,35324
73404,31693
94226,32613
96201,92732
89109,45861
84366,58080
96397,45864
73081,71058
77654,69279
55301,54893
72726,70489
87890,87343
75993,57332
61418,50077
89253,55956
59088,39321
99917,66439
91019,84733
62667,60633
89029,80852
91535,56285
89977,52164
95806,66423
92583,41118
81780,33405
83750,57397
74610,67878
75719,55065
78990,47676
98055,50219
81805,36061
84082,72863
94647,48857
99833,90181
54082,53911
53304,42065
88272,26922
66310,52051
82647,35898
60675,49947
60289,49690
90654,51189
95191,35939
72410,38670
85613,37701
56695,52545
90496,85505
96111,48226
86165,25036
60810,47340
90852,47057
75107,55824
73630,37323
71632,44291
84697,40069
57899,39309
87360,67850
50620,48943
79771,72205
87701,47434
72541,34248
63746,46185
87841,62849
92901,38325
88634,36521
95544,88464
78632,56321
97599,75351
94661,84800
64722,63793
97181,95428
87742,74555
80431,31951
82040,46499
55568,47455
85905,83933
54108,52003
81183,43828
92259,40472
74026,68407
81213,38441
84023,48779
61926,59199
60613,56351
98813,64209
95797,72683
71401,51762
63461,45601
67314,53877
73248,38245
57323,37919
95901,50681
87597,52184
57250,38185
73916,66773
80916,77309
97552,33955
79978,62025
64072,50503
59695,42126
91770,60417
73008,30255
96551,79594
93373,82198
92520,46599
92854,34557
56689,45198
61179,61016
84817,65760
75643,46501
70641,38750
98741,63870
79754,60345
79580,70135
87181,48981
64803,63755
70895,45912
77824,37593
86250,85070
74787,56897
80055,30591
75533,32768
70250,58599
96073,91357
73007,69145
70153,68487
92497,27890
58424,53581
72439,57355
75086,47941
72127,60406
61203,47345
53941,53819
82393,59068
97957,57044
92595,37419
81720,57079
74960,35257
61951,41999
68903,47320
80098,67135
64335,60882
70589,40110
95200,48210
61003,53542
97085,45690
85163,73111
74680,34337
81208,52105
98945,74510
71346,48731
90399,82352
87247,63699
86771,69210
95347,65993
96727,52410
99393,38583
58817,44256
89843,33336
74405,62097
70284,60223
95094,48695
58354,53809
88623,43305
93570,34323
49480,46930
70883,34100
61967,38619
72652,63935
86111,55666
67487,42994
69187,44920
79403,46681
92490,83921
92016,27673
98939,59384
82544,67123
99134,94385
87653,46308
92192,31347
67737,46344
62548,48787
56673,39898
70627,36909
63921,36360
89163,88632
71843,44195
82315,34771
94540,71517
71174,53953
58994,39589
84640,59149
98359,49884
89764,81393
93483,59450
67039,66372
95629,61945
80251,33482
81158,37819
97331,47099
68143,64030
89214,80591
87811,55699
92245,32089
58845,50200
85032,40087
63923,43330
89467,55920
85944,57222
58252,50225
87053,34360
48767,47177
